,DATE,MSACSR,MSPUS,S&P Comp.,Dividend,Earnings,Consumer Price Index CPI,Long Interest Rate GS10,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,Cyclically Adjusted Price Earnings Ratio P/E10 or CAPE,Cyclically Adjusted Total Return Price Earnings Ratio TR P/E10 or TR CAPE,Excess CAPE Yield,Monthly Total Bond Returns,Real Total Bond Returns,10 Year Annualized Stock Real Return,10 Year Annualized Bonds  Real Return,Real 10 Year Excess Annualized  Returns
0,1963-01-01,4.7,17800.0,65.06,2.14,3.68,30.4,3.83,621.38,20.41,73576.49,35.18,4165.49,19.26,22.79,2.71,1.0,11.97,5.94,-0.01,5.95
1,1963-02-01,6.6,17866.666666666668,65.92,2.14,3.7,30.4,3.92,629.59,20.47,74751.05,35.31,4191.9,19.47,23.03,2.6,1.0,11.92,5.34,-0.12,5.46
2,1963-03-01,6.4,17933.333333333332,65.67,2.15,3.71,30.5,3.93,625.15,20.47,74425.91,35.32,4204.66,19.29,22.81,2.63,1.0,11.91,5.14,-0.2,5.34
3,1963-04-01,5.3,18000.0,68.76,2.17,3.75,30.5,3.97,654.56,20.63,78132.53,35.73,4264.94,20.15,23.82,2.37,1.01,11.91,4.39,-0.18,4.57
4,1963-05-01,5.1,17966.666666666668,70.14,2.18,3.8,30.5,3.93,667.7,20.78,79907.38,36.14,4325.38,20.51,24.23,2.29,1.0,11.98,3.81,-0.39,4.2
5,1963-06-01,6.0,17933.333333333332,70.11,2.2,3.84,30.6,3.99,665.23,20.87,79820.36,36.44,4371.85,20.38,24.08,2.25,1.0,11.93,3.55,-0.39,3.93
6,1963-07-01,4.6,17900.0,69.07,2.2,3.88,30.7,4.02,653.23,20.84,78588.54,36.7,4414.7,19.97,23.58,2.36,1.0,11.9,3.81,-0.49,4.3
7,1963-08-01,5.6,18100.0,70.98,2.21,3.92,30.7,4.0,671.29,20.87,80970.99,37.07,4471.77,20.47,24.16,2.21,1.0,11.96,3.14,-0.85,3.99
8,1963-09-01,5.4,18300.0,72.85,2.21,3.96,30.7,4.08,688.98,20.9,83314.29,37.45,4528.82,20.96,24.73,2.02,1.0,11.92,3.03,-0.56,3.59
9,1963-10-01,5.9,18500.0,73.03,2.23,3.98,30.8,4.11,688.44,21.05,83461.13,37.52,4548.48,20.89,24.63,2.0,1.0,11.89,3.35,-0.36,3.71
10,1963-11-01,5.5,18500.0,72.62,2.26,4.0,30.8,4.12,684.57,21.27,83207.49,37.71,4583.17,20.72,24.42,2.07,1.0,11.92,2.58,-0.35,2.93
11,1963-12-01,6.1,18500.0,74.17,2.28,4.02,30.9,4.13,696.92,21.42,84925.43,37.77,4602.94,21.04,24.79,2.02,1.0,11.92,1.59,-0.36,1.95
12,1964-01-01,5.8,18500.0,76.45,2.3,4.07,30.9,4.17,718.35,21.58,87755.2,38.27,4675.68,21.63,25.47,1.85,1.01,11.92,1.34,-0.57,1.91
13,1964-02-01,5.5,18633.333333333332,77.39,2.31,4.13,30.9,4.15,727.18,21.74,89055.49,38.78,4748.71,21.83,25.7,1.83,1.0,11.98,0.81,-0.67,1.48
14,1964-03-01,5.8,18766.666666666668,78.8,2.33,4.18,30.9,4.22,740.43,21.89,90901.46,39.28,4821.93,22.17,26.08,1.69,1.0,11.95,0.93,-0.89,1.82
15,1964-04-01,6.0,18900.0,79.94,2.35,4.23,30.9,4.23,751.14,22.05,92442.12,39.75,4891.55,22.42,26.37,1.66,1.01,11.98,0.22,-1.11,1.33
